,ID,Behörde/Abteilung,Bezeichnung,Besoldung,Entgelt,PLZ,Ort,Entfernung,Eingestellt,Frist
23,1016315,Landeshauptstadt Hannover,Meister*in als Key-User*in für unser Betriebsführungssystem im Bereich Kanalnetz und Infrastruktur,,TVöD-VKA E 9b,30165,Hannover,,02.09.2023,01.10.2023
24,1016193,Landkreis Grafschaft Bentheim,"Ingenieur:in der Fachrichtung Bauingenieurwesen, Architektur oder vergleichbar",,TVöD-VKA E 11,48529,Nordhorn,,02.09.2023,24.09.2023
25,1016125,Landkreis Gießen - Der Kreisausschuss,Mitarbeit im FD Personal,,TVöD-VKA E 7,35394,Gießen,,02.09.2023,17.09.2023
26,1015992,Landkreis Gießen - Der Kreisausschuss,Fachinformatikerin/Fachinformatiker (m/w/d) im Fachdienst Schule und Sport,,TVöD-VKA E 9b,35394,Gießen,,02.09.2023,17.09.2023
27,1015776,Thüringer Landesamt für Bau und Verkehr,Gebietsingenieur (m/w/d) Gebietsbereich Unstrut-Hainich-Kreis,A12,TV-L E 12,99974,Mühlhausen/Thüringen,,02.09.2023,17.09.2023
28,1015597,Stadt Wilhelmshaven,Straßenwärter*in / Straßenbauer*in (m/w/d),,TVöD-VKA E 6,26382,Wilhelmshaven,,02.09.2023,23.09.2023
29,1015502,Thüringer Landesamt für Bau und Verkehr,"Ingenieur (m/w/d), Techniker (m/w/d), Meister (m/w/d) für Gebäudemanagement",,TV-L E 9b - TV-L E 10,99084,Erfurt,,02.09.2023,24.09.2023
30,1015484,Landkreis Gießen - Der Kreisausschuss,Jugendbildungsreferent:in (m/w/d) im FD Kinder- und Jugendhilfe,,TVöD-SuE S 11b,35394,Gießen,,02.09.2023,17.09.2023
31,1015405,Landkreis Hildesheim,mehrere Sachbearbeitungen (m/w/d) für den Aufgabenbereich Wohnraumvermittlung/Auszugsmanagement,A9g,TVöD-VKA E 9b,31134,Hildesheim,,02.09.2023,baldmöglichst
32,1015387,Landkreis Gießen - Der Kreisausschuss,Mitarbeit im FD Soziales und Senioren,,TVöD-VKA E 5,35394,Gießen,,02.09.2023,17.09.2023
33,1015368,Landesbetrieb Liegenschafts- und Baubetreuung,Sachbearbeiter Immobilienmanagement (m/w/d),,TV-L E 9b - TV-L E 11,55116,Mainz,,02.09.2023,24.09.2023
34,1015354,Landesbetrieb Liegenschafts- und Baubetreuung,Mitarbeiter Finanzbuchhaltung (m/w/d),,TV-L E 6 - TV-L E 8,55116,Mainz,,02.09.2023,17.09.2023
35,1015352,Landkreis Gießen - Der Kreisausschuss,Sachbearbeitung im Fachdienst Verkehr,,TVöD-VKA E 7,35394,Gießen,,02.09.2023,17.09.2023
36,1015195,Landkreis Gießen - Der Kreisausschuss,Sachbearbeitung im Fachdienst Verkehr,,TVöD-VKA E 7,35394,Gießen,,02.09.2023,17.09.2023
37,1015002,Landkreis Leer,Medizinischer Fachangestellter (m/w/d),,TVöD-VKA E 5,26789,Leer (Ostfriesland),,02.09.2023,17.09.2023
38,1014927,Kreis Siegen-Wittgenstein,Mitarbeiter:in (m/w/d) für den Deponiebetrieb,,TVöD-VKA E 6,57072,Siegen,,02.09.2023,24.09.2023
39,1014925,Kreis Siegen-Wittgenstein,Sachgebietsleitung (m/w/d) für die Untere Abfall- und Bodenschutzbehörde,A9g - A13,TVöD-VKA E 12,57072,Siegen,,02.09.2023,24.09.2023
40,1014798,Stadt Gunzenhausen,Ausbildung zur/zum Kauffrau-/mann für Tourismus und Freizeit (m/w/d),,,91710,Gunzenhausen,,02.09.2023,29.09.2023
41,1014784,Stadt Gunzenhausen,Ausbildung zur Fachkraft für Abwassertechnik (m/w/d),,,91710,Gunzenhausen,,02.09.2023,29.09.2023
42,1014767,Stadt Gunzenhausen,Ausbildung zur/zum Verwaltungsfachangestellten (m/w/d),,,91710,Gunzenhausen,,02.09.2023,29.09.2023
43,1013873,Landkreis Hildesheim,eine Sachbearbeitung (m/w/d) für die Aufgaben Personalangelegenheiten und Organisation für den Bereich der Hausmeister/innen und Gärtner/innen,A10,TVöD-VKA E 9c,31134,Hildesheim,,02.09.2023,23.09.2023
44,1013820,Landkreis Hildesheim,leichtere Sachbearbeitung und Vorzimmersekretariate (m/w/d),,TVöD-VKA E 5 - TVöD-VKA E 6,31134,Hildesheim,,02.09.2023,23.09.2023
